%    atsl_version	                 1.0
%         rectime	             300.000
%  ephys_filename	 2006_10_02_0000.abf
%      ephys_chan	          IN 0 extra
%    ev_threshold	            -0.05423
% burst_interval1	              100.00
% burst_interval2	              500.00
%     burst_minev	                   3
%   silentper_dur	             2000.00
% silentper_maxev	                   1
%    data_quality	                 NaN
%         comment	generated by burstdetguifunc
  10.1121        0
  10.1208        0
  10.1311        0
  10.1428        0
  10.1512        0
  10.1628        0
  10.1716        0
  10.1794        0
  10.1935        0
  10.2036        0
  10.2151        0
  10.2240        0
  10.2405        0
  10.2566        0
  10.2663        0
  10.2772        0
  10.2881        0
  10.2976        0
  10.3110        0
  10.3301        0
  10.3459        0
  10.3588        0
  10.3664        0
  10.3721        0
  10.3812        0
  10.3989        0
  10.4153        0
  10.4224        0
  10.4278        0
  10.4344        0
  10.4451        0
  10.4522        0
  10.5151        0
  10.5404        0
  10.5486        0
  10.5576        0
  10.5660        0
  10.5736        0
  10.5763        0
  10.5873        0
  10.6099        0
  10.6241        0
  10.6259        0
  10.6313        0
  10.6384        0
  10.6468        0
  10.6584        0
  10.7016        0
  10.7154        0
  10.7216        0
  10.7265        0
  10.7307        0
  10.7346        0
  10.7384        0
  10.7407        0
  10.7454        0
  10.7719        0
  10.8698        0
  10.8812        0
  10.8904        0
  10.9096        0
  10.9247        0
  10.9354        0
  10.9440        0
  10.9555        0
  10.9742        0
  10.9863        0
  10.9936        0
  11.0021        0
  11.0138        0
  11.0369        0
  11.0582        0
  11.0630        0
  11.0700        0
  11.1016        0
  11.1143        0
  11.1358        0
  11.1467        0
  11.1570        0
  11.1874        0
  11.1995        0
  11.2162        0
  11.2279        0
  11.2335        0
  11.2465        0
  11.2577        0
  11.2760        0
  11.2885        0
  11.2956        0
  11.3010        0
  11.3065        0
  11.3135        0
  11.3349        0
  11.3460        0
  11.4114        0
  11.4578        0
  11.4736        0
  11.4843        0
  11.4923        0
  11.5853        0
  11.5960        0
  11.6052        0
  11.6126        0
  11.6192        0
  11.6221        0
  11.6238        0
  11.6310        0
  11.6356        0
  11.6391        0
  11.6562        0
  11.6637        0
  11.7115        0
  11.7876        0
  11.7998        0
  11.8073        0
  11.8241        0
  11.8425        0
  11.8535        0
  11.8727        0
  11.8911        0
  11.9022        0
  11.9115        0
  11.9220        0
  11.9456        0
  12.0099        0
  12.0336        0
  12.0428        0
  12.0472        0
  12.0549        0
  12.0616        0
  15.6188        1
  15.6188   0.9240
  15.6295        0
  15.6436        0
  15.6461        0
  15.6508        0
  15.6542        0
  15.6557        0
  15.6619        0
  15.6690        0
  15.6711        0
  15.6747        0
  15.6821        0
  15.6850        0
  15.6886        0
  15.6919        0
  15.6975        0
  15.7068        0
  15.7116        0
  15.7172        0
  15.7216        0
  15.7332        0
  15.7430        0
  15.7555        0
  15.7630        0
  15.7710        0
  15.7816        0
  15.7947        0
  15.8039        0
  15.8142        0
  15.8170        0
  15.8267        0
  15.8386        0
  15.8454        0
  15.8655        0
  15.8705        0
  15.9081        0
  15.9095        0
  15.9279        0
  15.9323        0
  15.9436        0
  15.9646        0
  15.9916        0
  16.0238        0
  16.0561        0
  16.0576        0
  16.1257        0
  16.1403        0
  16.1550        0
  16.2178        0
  16.2317        0
  16.2529        0
  16.3295        0
  16.3408        0
  16.3495        0
  16.3530        0
  16.3552        0
  16.3554        0
  16.3623        0
  16.3716        0
  16.3800        0
  16.4479        0
  16.4659        0
  16.4885        0
  16.5137        0
  16.5229        0
  16.5335        0
  16.5428        0
  20.5639        0
  20.5639   0.4301
  20.5681        0
  20.5744        0
